block_group,lat,lon,population,vehicles,renter_share,demand_A,demand_B,demand
060855098012,37.390242327956635,-122.10077088998011,1163,390,0.1657754010695187,39.0,35.663101604278076,39.0
060855093033,37.406516298610505,-122.09259625136751,676,309,0.6902985074626866,30.900000000000002,68.77555970149254,30.900000000000002
060855091093,37.39036452506881,-122.06509345181192,1570,656,0.7022292993630573,65.60000000000001,147.9656050955414,65.60000000000001
060855091111,37.38216188443495,-122.05913031174887,2659,1207,0.6532180595581172,120.7,257.45854947166185,120.7
060855091023,37.38609837045201,-122.04639471102199,1176,788,0.8227848101265823,78.80000000000001,201.48860759493672,78.80000000000001
060855094033,37.395478641563265,-122.09752630481113,1330,808,0.9646017699115044,80.80000000000001,235.2495575221239,80.80000000000001
060855096003,37.39129748021291,-122.07681968170587,1287,795,0.6410256410256411,79.5,167.15384615384616,79.5
060855108014,37.424763452453384,-122.10498998882466,938,468,0.6220095693779905,46.800000000000004,96.1751196172249,46.800000000000004
060855091102,37.37459059334389,-122.06561078762695,1810,770,0.9914285714285714,77.0,229.35,77.0
060855091092,37.39586510240288,-122.06561495076738,2554,1227,0.5658042744656918,122.7,234.91046119235097,122.7
060855091112,37.381905099837965,-122.06463759368631,1546,896,0.5522875816993464,89.60000000000001,168.51241830065362,89.60000000000001
060855093022,37.41134512461937,-122.1014532347167,2119,782,0.4332425068119891,78.2,123.79891008174387,78.2
060855091101,37.371786990101974,-122.0620967812726,1438,758,0.6682464454976303,75.8,164.53270142180094,75.8
