site_id,lat,lon,c_j
J187,37.38969253770974,-122.0698456141279,50000
J188,37.390711811226936,-122.07203250615309,50000
J189,37.39108357188818,-122.07167524439967,50000
J190,37.39060189622448,-122.07079942556668,50000
J191,37.38876570172761,-122.07126292483163,50000
J192,37.389623195928614,-122.07077306960807,50000
J193,37.38913063027338,-122.07101676963259,50000
J194,37.40220705657907,-122.11242839616169,50000
J195,37.403842479646,-122.06005645557299,50000
J196,37.403883976581916,-122.06022806724226,50000
J197,37.40444073788338,-122.05982105070977,50000
J198,37.3739582272775,-122.08627556443066,50000
J199,37.38222978460552,-122.08502407188479,50000
J200,37.37482077481552,-122.08613973326621,50000
J201,37.400272621426474,-122.11062101064623,50000
J202,37.401199347633906,-122.10670736217928,50000
J203,37.40291762477403,-122.10710215020688,50000
J204,37.400813008846306,-122.11149377579164,50000
J205,37.40412496828678,-122.10780739218872,50000
J206,37.40194824669199,-122.11048149941774,50000
J207,37.40328839676139,-122.10936020433753,50000
J208,37.39401171279466,-122.07798779066592,50000
J209,37.40131103753877,-122.11241634934014,50000
J210,37.40402959585911,-122.09755265396262,50000
J211,37.38000780033316,-122.07501014946068,50000
J212,37.37908921410858,-122.07479669589294,50000
J213,37.4027518053107,-122.07890566594905,50000
J214,37.395170916597976,-122.09980027475493,50000
J215,37.39555627307097,-122.09950148745484,50000
J216,37.39053784831724,-122.0951852344047,50000
J217,37.37768863540171,-122.07591531653361,50000
J218,37.391453857590925,-122.07298270550527,50000
J219,37.39122494836445,-122.07220283154082,50000
J220,37.39133639214921,-122.0727522377142,50000
J221,37.39243420405317,-122.06365017941124,50000
J222,37.392941517512384,-122.06294890311959,50000
J223,37.39403824987334,-122.06298645024552,50000
J224,37.3947681508361,-122.06279183104739,50000
J225,37.392282777607676,-122.06370825704543,50000
J226,37.395140132255435,-122.06264750099565,50000
J227,37.39435515022954,-122.06270104983564,50000
J228,37.39447321893933,-122.06266242006058,50000
J229,37.426263391586524,-122.07608064442502,50000
J230,37.427310465730976,-122.07684486931954,50000
J231,37.39250556422876,-122.07658972575557,50000
J232,37.38130507406793,-122.07427391940485,50000
J233,37.38162223748232,-122.0740462196741,50000
J234,37.404070192750275,-122.07601397902565,50000
J235,37.40307205159865,-122.05439329583612,50000
J236,37.39385586646949,-122.05985836787951,50000
J237,37.39499104840688,-122.06135979338198,50000
J238,37.395898218720156,-122.05131713197214,50000
J239,37.380040385162125,-122.09479594291878,50000
J240,37.3985472511824,-122.07288481112754,50000
J241,37.399135297071076,-122.0714483883247,50000
J242,37.39949694864009,-122.07277862478698,50000
J243,37.397966675891965,-122.0703253128875,50000
J244,37.399190391132116,-122.0738443203947,50000
J245,37.40439580636928,-122.1050581767498,50000
J246,37.40351270205406,-122.10412343891844,50000
J247,37.40055023859875,-122.0556286349961,50000
J248,37.391792413484765,-122.05922489659817,50000
J249,37.37536500430867,-122.06229061255807,50000
J250,37.3756932685795,-122.06194631119409,50000
J251,37.375274349129604,-122.06170878245378,50000
J252,37.3754187001281,-122.06122919999635,50000
J253,37.40224810568291,-122.11384515178844,50000
J254,37.40956483352539,-122.10614990478933,50000
J255,37.4102282432768,-122.10619276320313,50000
J256,37.40773681475338,-122.10413266916646,50000
J257,37.40784224571174,-122.10628766598109,50000
J258,37.403355370523094,-122.11156350713027,50000
J259,37.400948079451275,-122.04640865606756,50000
J260,37.40251408570673,-122.04731962059047,50000
J261,37.401952882790134,-122.06620869265518,50000
J262,37.40188640000962,-122.06584595000099,50000
J263,37.40187254998541,-122.06566705001786,50000
J264,37.40184648177102,-122.06546464612772,50000
J265,37.40200904993349,-122.06532895006211,50000
J266,37.401623600225804,-122.06717690011004,50000
J267,37.366138997451486,-122.0874973002711,50000
J268,37.39951340006687,-122.08638574991255,50000
J269,37.400166449786575,-122.0880993002732,50000
J270,37.41267594994854,-122.09041814995838,50000
J271,37.40070134256197,-122.07707129567135,50000
J272,37.400703399804414,-122.08794625025544,50000
J273,37.399628889662615,-122.08631248487906,50000
J274,37.40048622225047,-122.0808786704667,50000
J275,37.40037205010834,-122.08081479996581,50000
J276,37.40681502685325,-122.09118703406067,50000
J277,37.40084094407857,-122.1116886311452,50000
J278,37.39688869993103,-122.10025156095664,50000
J279,37.39670980000192,-122.09979823724794,50000
J280,37.39652365018178,-122.09932294975356,50000
J281,37.397061300178244,-122.10068894976122,50000
J282,37.40135410002682,-122.07958350000034,50000
J283,37.404944253052456,-122.09509291775035,50000
J284,37.38744032029936,-122.08906945043503,50000
J285,37.4019658100603,-122.09202663576028,50000
J286,37.401358726259346,-122.0913357332733,50000
J287,37.40135721211206,-122.0906679410365,50000
J288,37.391662852571336,-122.07124431048865,50000
J289,37.391384300014764,-122.07059450005077,50000
J290,37.39149308760358,-122.07090835296917,50000
J291,37.41985641785982,-122.0644666683916,50000
J292,37.40369585545656,-122.08322115428355,50000
J293,37.405762506496,-122.08489785670328,50000
J294,37.399989477049274,-122.08366670991396,50000
J295,37.40000635136692,-122.08443065795447,50000
J296,37.40040880749622,-122.08804035336726,50000
J297,37.401219957389976,-122.08765687072112,50000
J298,37.40044929991021,-122.08283979999491,50000
J299,37.403251808201034,-122.08424895776638,50000
J300,37.39832213504511,-122.08344066157272,50000
J301,37.398681393882654,-122.08453764670426,50000
J302,37.39887866491232,-122.08515417398081,50000
J303,37.39882330000485,-122.0850052500101,50000
J304,37.39901655001324,-122.08395270003446,50000
J305,37.40388702336356,-122.05842126710321,50000
J306,37.38874645837656,-122.08927573208778,50000
J307,37.40609913665117,-122.09522781359811,50000
J308,37.40597466612616,-122.09493378353906,50000
J309,37.41726755000086,-122.09697025000577,50000
J310,37.41548326196085,-122.09711798127266,50000
J311,37.41648873017802,-122.09700656952703,50000
J312,37.41985690089929,-122.09673256957235,50000
J313,37.40746304017033,-122.10844815029735,50000
J314,37.399642225006595,-122.077744490584,50000
J315,37.40044840016486,-122.07773999999827,50000
J316,37.40040140803989,-122.07874468571391,50000
J317,37.40086513808027,-122.07850439456442,50000
J318,37.39714998040262,-122.07851929400431,50000
J319,37.40057424253244,-122.07762628709581,50000
J320,37.40215435787088,-122.07871974183185,50000
J321,37.42119594822038,-122.07594694417797,50000
J322,37.421238754641536,-122.07258157210684,50000
J323,37.42123297435846,-122.07019551919423,50000
J324,37.42163740108293,-122.07150023086905,50000
J325,37.400482297926565,-122.08071686940525,50000
J326,37.40148547258017,-122.0810693959416,50000
J327,37.40180270366466,-122.07998379865924,50000
J328,37.39974887012431,-122.11003908849412,50000
J329,37.39993364897359,-122.10978738918304,50000
J330,37.419129005655805,-122.08077373794707,50000
J331,37.38055913087938,-122.07038874025626,50000
J332,37.38028034023233,-122.0686596483431,50000
J333,37.41105240500795,-122.09372903358974,50000
J334,37.39929476828049,-122.08052981902503,50000
J335,37.4001593504308,-122.0801085707606,50000
J336,37.39920160254062,-122.07951505054864,50000
J337,37.39991210003657,-122.07913398644325,50000
J338,37.39908945001187,-122.07836105001132,50000
J339,37.39866884632798,-122.07843997958288,50000
J340,37.39778691094947,-122.07547144561573,50000
J341,37.397436600010806,-122.07633630000849,50000
J342,37.39750175302909,-122.07687671823179,50000
J343,37.39699545512415,-122.07665205822062,50000
J344,37.39649827568375,-122.07700656529528,50000
J345,37.39570472080563,-122.07726387783697,50000
J346,37.39832763031671,-122.07877528347656,50000
J347,37.38956247716835,-122.08061469930794,50000
J348,37.400715150036405,-122.10304624995622,50000
J349,37.384774798644166,-122.08349376197786,50000
