site_id,lat,lon,tier
J490,37.405757799578566,-122.06165860617816,5
J491,37.41257434087479,-122.09572634575972,3
J492,37.41260998937651,-122.09613848605358,3
J493,37.417618782452436,-122.06741773974369,5
J494,37.406486411679964,-122.1131488859008,5
J495,37.37377404138029,-122.0874840555627,3
J496,37.39978108331906,-122.08474594916429,5
J497,37.39964459727096,-122.08488641267552,5
J498,37.397051623997996,-122.0920182683806,5
J499,37.391963650398345,-122.09442697921592,3
J500,37.368745479025115,-122.08112999894276,4
J501,37.395082443685794,-122.09483639683826,3
J502,37.395590631112704,-122.09462282778719,3
J503,37.3946729433886,-122.09255270418494,3
J504,37.39691316506437,-122.0935040961819,3
J505,37.395083287996194,-122.09279274221949,3
J506,37.379274023938514,-122.0719832421695,3
J507,37.42282533397889,-122.06297621027637,4
J508,37.41895498520219,-122.06444698873699,3
J509,37.42417362779595,-122.07981663548989,3
J510,37.4252559095994,-122.07898732891324,3
J511,37.42527861356586,-122.08007362648578,3
J512,37.42714482003791,-122.0789466411685,3
J513,37.42054939524655,-122.06691460013245,3
J514,37.377306761219856,-122.07716460131365,3
J515,37.386863922682934,-122.08900586357652,3
J516,37.40683967562249,-122.11095443031978,3
J517,37.398098244031544,-122.09229633181647,3
J518,37.42647366227639,-122.09714863416389,3
J519,37.43142516169131,-122.09954369505022,3
J520,37.429487945128194,-122.09950218913286,3
J521,37.420473312722585,-122.08850579678113,5
J522,37.41941654697006,-122.0870327832948,5
J523,37.4192139999639,-122.06759764999732,3
J524,37.399548506672,-122.08610458813192,5
J525,37.39943241308427,-122.0861797965521,5
J526,37.3996909808381,-122.08647345371183,5
J527,37.399572527670905,-122.08654586982995,5
J528,37.39942648043144,-122.0852053854768,3
J529,37.399198375785176,-122.0849745054786,5
J530,37.39931567993212,-122.0843312333935,5
J531,37.39960332456011,-122.08303286013263,3
J532,37.39952615702655,-122.08369407926479,3
J533,37.39925209748214,-122.0864532216937,3
J534,37.39998112559504,-122.08671356990341,5
